episode,total_reward,epsilon,total_steps
0,-1000.0,0.99,999
1,-1000.0,0.9801,999
2,-1000.0,0.9702989999999999,999
3,-1000.0,0.96059601,999
4,-1000.0,0.9509900498999999,999
5,-1000.0,0.9414801494009999,999
6,-1000.0,0.9320653479069899,999
7,-1000.0,0.92274469442792,999
8,-1000.0,0.9135172474836407,999
9,-1000.0,0.9043820750088043,999
10,-1000.0,0.8953382542587163,999
11,-1000.0,0.8863848717161291,999
12,-1000.0,0.8775210229989678,999
13,-1000.0,0.8687458127689781,999
14,-1000.0,0.8600583546412883,999
15,-1000.0,0.8514577710948754,999
16,-1000.0,0.8429431933839266,999
17,-1000.0,0.8345137614500874,999
18,-875.0,0.8261686238355865,874
19,-1000.0,0.8179069375972307,999
20,-1000.0,0.8097278682212583,999
21,-1000.0,0.8016305895390458,999
22,-1000.0,0.7936142836436553,999
23,-911.0,0.7856781408072188,910
24,-1000.0,0.7778213593991465,999
25,-1000.0,0.7700431458051551,999
26,-1000.0,0.7623427143471035,999
27,-346.0,0.7547192872036325,345
28,-793.0,0.7471720943315961,792
29,-1000.0,0.7397003733882802,999
30,-867.0,0.7323033696543974,866
31,-1000.0,0.7249803359578534,999
32,-1000.0,0.7177305325982748,999
33,-1000.0,0.7105532272722921,999
34,-1000.0,0.7034476949995692,999
35,-562.0,0.6964132180495735,561
36,-744.0,0.6894490858690777,743
37,-1000.0,0.682554595010387,999
38,-1000.0,0.6757290490602831,999
39,-1000.0,0.6689717585696803,999
40,-1000.0,0.6622820409839835,999
41,-882.0,0.6556592205741436,881
42,-1000.0,0.6491026283684022,999
43,-1000.0,0.6426116020847181,999
44,-395.0,0.6361854860638709,394
45,-1000.0,0.6298236312032323,999
46,-1000.0,0.6235253948912,999
47,-789.0,0.617290140942288,788
48,-1000.0,0.6111172395328651,999
49,-906.0,0.6050060671375365,905
50,-913.0,0.5989560064661611,912
51,-439.0,0.5929664464014994,438
52,-576.0,0.5870367819374844,575
53,-728.0,0.5811664141181095,727
54,-605.0,0.5753547499769285,604
55,-1000.0,0.5696012024771592,999
56,-252.0,0.5639051904523876,251
57,-659.0,0.5582661385478638,658
58,-1000.0,0.5526834771623851,999
59,-1000.0,0.5471566423907612,999
60,-1000.0,0.5416850759668536,999
61,-466.0,0.536268225207185,465
62,-816.0,0.5309055429551132,815
63,-678.0,0.525596487525562,677
64,-1000.0,0.5203405226503064,999
65,-718.0,0.5151371174238033,717
66,-897.0,0.5099857462495653,896
67,-768.0,0.5048858887870696,767
68,-1000.0,0.4998370298991989,999
69,-470.0,0.49483865960020695,469
70,-651.0,0.4898902730042049,650
71,-1000.0,0.48499137027416284,999
72,-406.0,0.4801414565714212,405
73,-409.0,0.475340042005707,408
74,-483.0,0.47058664158564995,482
75,-863.0,0.4658807751697934,862
76,-1000.0,0.4612219674180955,999
77,-664.0,0.45660974774391455,663
78,-1000.0,0.4520436502664754,999
79,-599.0,0.44752321376381066,598
80,-1000.0,0.44304798162617254,999
81,-741.0,0.4386175018099108,740
82,-591.0,0.4342313267918117,590
83,-423.0,0.4298890135238936,422
84,-845.0,0.42559012338865465,844
85,-762.0,0.4213342221547681,761
86,-533.0,0.41712087993322045,532
87,-1000.0,0.41294967113388825,999
88,-1000.0,0.40882017442254937,999
89,-723.0,0.4047319726783239,722
90,-816.0,0.40068465295154065,815
91,-1000.0,0.39667780642202527,999
92,-1000.0,0.392711028357805,999
93,-225.0,0.38878391807422696,224
94,-1000.0,0.3848960788934847,999
95,-290.0,0.38104711810454983,289
96,-468.0,0.37723664692350434,467
97,-532.0,0.37346428045426927,531
98,-226.0,0.36972963764972655,225
99,-439.0,0.36603234127322926,438
100,-1000.0,0.36237201786049694,999
101,-1000.0,0.358748297681892,999
102,-641.0,0.35516081470507305,640
103,-292.0,0.3516092065580223,291
104,-998.0,0.34809311449244207,997
105,-612.0,0.34461218334751764,611
106,-543.0,0.34116606151404244,542
107,-478.0,0.337754400898902,477
108,-380.0,0.334376856889913,379
109,-277.0,0.33103308832101386,276
110,-425.0,0.3277227574378037,424
111,-470.0,0.3244455298634257,469
112,-287.0,0.3212010745647914,286
113,-466.0,0.3179890638191435,465
114,-652.0,0.31480917318095203,651
115,-334.0,0.3116610814491425,333
116,-719.0,0.30854447063465107,718
117,-362.0,0.30545902592830454,361
118,-429.0,0.3024044356690215,428
119,-404.0,0.29938039131233124,403
120,-556.0,0.2963865873992079,555
121,-377.0,0.29342272152521587,376
122,-561.0,0.2904884943099637,560
123,-430.0,0.28758360936686406,429
124,-252.0,0.2847077732731954,251
125,-296.0,0.28186069554046345,295
126,-485.0,0.2790420885850588,484
127,-200.0,0.2762516676992082,199
128,-306.0,0.27348915102221616,305
129,-477.0,0.270754259511994,476
130,-417.0,0.26804671691687404,416
131,-525.0,0.2653662497477053,524
132,-233.0,0.2627125872502282,232
133,-440.0,0.2600854613777259,439
134,-569.0,0.2574846067639487,568
135,-662.0,0.2549097606963092,661
136,-795.0,0.2523606630893461,794
137,-410.0,0.24983705645845267,409
138,-549.0,0.24733868589386815,548
139,-505.0,0.24486529903492946,504
140,-272.0,0.24241664604458016,271
141,-566.0,0.23999247958413436,565
142,-353.0,0.23759255478829303,352
143,-444.0,0.2352166292404101,443
144,-315.0,0.232864462948006,314
145,-470.0,0.23053581831852593,469
146,-1000.0,0.22823046013534068,999
147,-389.0,0.22594815553398728,388
148,-554.0,0.22368867397864742,553
149,-1000.0,0.22145178723886094,999
150,-470.0,0.21923726936647234,469
151,-1000.0,0.2170448966728076,999
152,-1000.0,0.21487444770607952,999
153,-446.0,0.21272570322901874,445
154,-250.0,0.21059844619672854,249
155,-798.0,0.20849246173476127,797
156,-593.0,0.20640753711741366,592
157,-156.0,0.20434346174623952,155
158,-761.0,0.20230002712877712,760
159,-360.0,0.20027702685748935,359
160,-1000.0,0.19827425658891445,999
161,-207.0,0.1962915140230253,206
