episode,total_reward,epsilon,total_steps
0,-2000.0,0.99,1999
1,-2000.0,0.9801,1999
2,-2000.0,0.9702989999999999,1999
3,-2000.0,0.96059601,1999
4,-2000.0,0.9509900498999999,1999
5,-2000.0,0.9414801494009999,1999
6,-2000.0,0.9320653479069899,1999
7,-2000.0,0.92274469442792,1999
8,-2000.0,0.9135172474836407,1999
9,-2000.0,0.9043820750088043,1999
10,-2000.0,0.8953382542587163,1999
11,-2000.0,0.8863848717161291,1999
12,-2000.0,0.8775210229989678,1999
13,-2000.0,0.8687458127689781,1999
14,-2000.0,0.8600583546412883,1999
15,-2000.0,0.8514577710948754,1999
16,-2000.0,0.8429431933839266,1999
17,-2000.0,0.8345137614500874,1999
18,-2000.0,0.8261686238355865,1999
19,-2000.0,0.8179069375972307,1999
20,-2000.0,0.8097278682212583,1999
21,-2000.0,0.8016305895390458,1999
22,-2000.0,0.7936142836436553,1999
23,-2000.0,0.7856781408072188,1999
24,-2000.0,0.7778213593991465,1999
25,-2000.0,0.7700431458051551,1999
26,-2000.0,0.7623427143471035,1999
27,-2000.0,0.7547192872036325,1999
28,-2000.0,0.7471720943315961,1999
29,-2000.0,0.7397003733882802,1999
30,-2000.0,0.7323033696543974,1999
31,-2000.0,0.7249803359578534,1999
32,-1466.0,0.7177305325982748,1465
33,-2000.0,0.7105532272722921,1999
34,-2000.0,0.7034476949995692,1999
35,-2000.0,0.6964132180495735,1999
36,-2000.0,0.6894490858690777,1999
37,-760.0,0.682554595010387,759
38,-2000.0,0.6757290490602831,1999
39,-1169.0,0.6689717585696803,1168
40,-1791.0,0.6622820409839835,1790
41,-2000.0,0.6556592205741436,1999
42,-2000.0,0.6491026283684022,1999
43,-1130.0,0.6426116020847181,1129
44,-2000.0,0.6361854860638709,1999
45,-2000.0,0.6298236312032323,1999
46,-2000.0,0.6235253948912,1999
47,-2000.0,0.617290140942288,1999
48,-1205.0,0.6111172395328651,1204
49,-2000.0,0.6050060671375365,1999
50,-2000.0,0.5989560064661611,1999
51,-2000.0,0.5929664464014994,1999
52,-2000.0,0.5870367819374844,1999
53,-1691.0,0.5811664141181095,1690
54,-2000.0,0.5753547499769285,1999
55,-1961.0,0.5696012024771592,1960
56,-1199.0,0.5639051904523876,1198
57,-629.0,0.5582661385478638,628
58,-698.0,0.5526834771623851,697
59,-2000.0,0.5471566423907612,1999
60,-1782.0,0.5416850759668536,1781
61,-2000.0,0.536268225207185,1999
62,-1156.0,0.5309055429551132,1155
63,-562.0,0.525596487525562,561
64,-1404.0,0.5203405226503064,1403
65,-1687.0,0.5151371174238033,1686
66,-1571.0,0.5099857462495653,1570
67,-1193.0,0.5048858887870696,1192
68,-2000.0,0.4998370298991989,1999
69,-916.0,0.49483865960020695,915
70,-559.0,0.4898902730042049,558
71,-1431.0,0.48499137027416284,1430
72,-2000.0,0.4801414565714212,1999
73,-2000.0,0.475340042005707,1999
74,-1315.0,0.47058664158564995,1314
75,-2000.0,0.4658807751697934,1999
76,-2000.0,0.4612219674180955,1999
77,-1298.0,0.45660974774391455,1297
78,-956.0,0.4520436502664754,955
79,-717.0,0.44752321376381066,716
80,-267.0,0.44304798162617254,266
81,-1237.0,0.4386175018099108,1236
82,-762.0,0.4342313267918117,761
83,-1145.0,0.4298890135238936,1144
84,-2000.0,0.42559012338865465,1999
85,-996.0,0.4213342221547681,995
86,-490.0,0.41712087993322045,489
87,-829.0,0.41294967113388825,828
88,-1053.0,0.40882017442254937,1052
89,-383.0,0.4047319726783239,382
90,-480.0,0.40068465295154065,479
91,-741.0,0.39667780642202527,740
92,-1075.0,0.392711028357805,1074
93,-746.0,0.38878391807422696,745
94,-677.0,0.3848960788934847,676
95,-515.0,0.38104711810454983,514
96,-2000.0,0.37723664692350434,1999
97,-690.0,0.37346428045426927,689
98,-520.0,0.36972963764972655,519
99,-879.0,0.36603234127322926,878
100,-723.0,0.36237201786049694,722
101,-502.0,0.358748297681892,501
102,-542.0,0.35516081470507305,541
103,-727.0,0.3516092065580223,726
104,-1067.0,0.34809311449244207,1066
105,-1140.0,0.34461218334751764,1139
106,-445.0,0.34116606151404244,444
107,-1042.0,0.337754400898902,1041
108,-394.0,0.334376856889913,393
109,-1247.0,0.33103308832101386,1246
110,-863.0,0.3277227574378037,862
111,-439.0,0.3244455298634257,438
112,-709.0,0.3212010745647914,708
113,-408.0,0.3179890638191435,407
114,-1543.0,0.31480917318095203,1542
115,-1020.0,0.3116610814491425,1019
116,-677.0,0.30854447063465107,676
117,-444.0,0.30545902592830454,443
118,-380.0,0.3024044356690215,379
119,-830.0,0.29938039131233124,829
120,-670.0,0.2963865873992079,669
121,-304.0,0.29342272152521587,303
122,-290.0,0.2904884943099637,289
123,-438.0,0.28758360936686406,437
124,-2000.0,0.2847077732731954,1999
125,-744.0,0.28186069554046345,743
126,-585.0,0.2790420885850588,584
127,-1270.0,0.2762516676992082,1269
128,-761.0,0.27348915102221616,760
129,-688.0,0.270754259511994,687
130,-1138.0,0.26804671691687404,1137
131,-1455.0,0.2653662497477053,1454
132,-176.0,0.2627125872502282,175
133,-594.0,0.2600854613777259,593
134,-1392.0,0.2574846067639487,1391
135,-843.0,0.2549097606963092,842
136,-419.0,0.2523606630893461,418
137,-776.0,0.24983705645845267,775
138,-728.0,0.24733868589386815,727
139,-721.0,0.24486529903492946,720
140,-662.0,0.24241664604458016,661
141,-514.0,0.23999247958413436,513
142,-653.0,0.23759255478829303,652
143,-677.0,0.2352166292404101,676
144,-902.0,0.232864462948006,901
145,-1125.0,0.23053581831852593,1124
146,-764.0,0.22823046013534068,763
147,-2000.0,0.22594815553398728,1999
148,-1373.0,0.22368867397864742,1372
149,-782.0,0.22145178723886094,781
150,-2000.0,0.21923726936647234,1999
151,-463.0,0.2170448966728076,462
152,-846.0,0.21487444770607952,845
153,-433.0,0.21272570322901874,432
154,-761.0,0.21059844619672854,760
155,-2000.0,0.20849246173476127,1999
156,-1028.0,0.20640753711741366,1027
157,-746.0,0.20434346174623952,745
158,-712.0,0.20230002712877712,711
159,-924.0,0.20027702685748935,923
160,-474.0,0.19827425658891445,473
161,-1804.0,0.1962915140230253,1803
162,-588.0,0.19432859888279505,587
163,-1123.0,0.1923853128939671,1122
164,-767.0,0.19046145976502743,766
165,-1133.0,0.18855684516737714,1132
166,-239.0,0.18667127671570335,238
167,-330.0,0.18480456394854633,329
168,-674.0,0.18295651830906087,673
169,-383.0,0.18112695312597027,382
170,-1005.0,0.17931568359471056,1004
171,-1221.0,0.17752252675876345,1220
172,-1028.0,0.17574730149117582,1027
173,-788.0,0.17398982847626407,787
174,-647.0,0.17224993019150142,646
175,-415.0,0.1705274308895864,414
176,-1182.0,0.16882215658069055,1181
177,-146.0,0.16713393501488363,145
178,-349.0,0.16546259566473479,348
179,-1626.0,0.16380796970808745,1625
180,-550.0,0.16216989001100657,549
181,-1177.0,0.1605481911108965,1176
182,-194.0,0.15894270919978754,193
183,-419.0,0.15735328210778965,418
184,-179.0,0.15577974928671176,178
185,-577.0,0.15422195179384465,576
186,-2000.0,0.1526797322759062,1999
187,-2000.0,0.15115293495314713,1999
188,-1111.0,0.14964140560361566,1110
189,-938.0,0.1481449915475795,937
190,-2000.0,0.1466635416321037,1999
191,-2000.0,0.14519690621578268,1999
192,-1392.0,0.14374493715362485,1391
193,-412.0,0.1423074877820886,411
194,-149.0,0.1408844129042677,148
195,-779.0,0.13947556877522502,778
196,-477.0,0.13808081308747278,476
197,-2000.0,0.13670000495659804,1999
198,-2000.0,0.13533300490703207,1999
199,-2000.0,0.13397967485796175,1999
200,-2000.0,0.13263987810938213,1999
201,-1238.0,0.1313134793282883,1237
202,-1155.0,0.13000034453500542,1154
203,-325.0,0.12870034108965536,324
204,-593.0,0.12741333767875881,592
205,-213.0,0.12613920430197123,212
206,-218.0,0.12487781225895152,217
207,-329.0,0.123629034136362,328
208,-1111.0,0.12239274379499838,1110
209,-2000.0,0.1211688163570484,1999
210,-2000.0,0.11995712819347792,1999
211,-2000.0,0.11875755691154315,1999
212,-1014.0,0.11756998134242772,1013
