episode,total_reward,epsilon,total_steps
0,-2000.0,0.99,1999
1,-2000.0,0.9801,1999
2,-2000.0,0.9702989999999999,1999
3,-2000.0,0.96059601,1999
4,-2000.0,0.9509900498999999,1999
5,-2000.0,0.9414801494009999,1999
6,-2000.0,0.9320653479069899,1999
7,-2000.0,0.92274469442792,1999
8,-2000.0,0.9135172474836407,1999
9,-2000.0,0.9043820750088043,1999
10,-2000.0,0.8953382542587163,1999
11,-2000.0,0.8863848717161291,1999
12,-1744.0,0.8775210229989678,1743
13,-2000.0,0.8687458127689781,1999
14,-2000.0,0.8600583546412883,1999
15,-2000.0,0.8514577710948754,1999
16,-2000.0,0.8429431933839266,1999
17,-2000.0,0.8345137614500874,1999
18,-2000.0,0.8261686238355865,1999
19,-2000.0,0.8179069375972307,1999
20,-2000.0,0.8097278682212583,1999
21,-2000.0,0.8016305895390458,1999
22,-2000.0,0.7936142836436553,1999
23,-2000.0,0.7856781408072188,1999
24,-2000.0,0.7778213593991465,1999
25,-2000.0,0.7700431458051551,1999
26,-2000.0,0.7623427143471035,1999
27,-2000.0,0.7547192872036325,1999
28,-2000.0,0.7471720943315961,1999
29,-2000.0,0.7397003733882802,1999
30,-1333.0,0.7323033696543974,1332
31,-2000.0,0.7249803359578534,1999
32,-2000.0,0.7177305325982748,1999
33,-1525.0,0.7105532272722921,1524
34,-2000.0,0.7034476949995692,1999
35,-2000.0,0.6964132180495735,1999
36,-2000.0,0.6894490858690777,1999
37,-2000.0,0.682554595010387,1999
38,-2000.0,0.6757290490602831,1999
39,-2000.0,0.6689717585696803,1999
40,-2000.0,0.6622820409839835,1999
41,-1047.0,0.6556592205741436,1046
42,-2000.0,0.6491026283684022,1999
43,-2000.0,0.6426116020847181,1999
44,-2000.0,0.6361854860638709,1999
45,-812.0,0.6298236312032323,811
46,-2000.0,0.6235253948912,1999
47,-2000.0,0.617290140942288,1999
48,-837.0,0.6111172395328651,836
49,-1765.0,0.6050060671375365,1764
50,-2000.0,0.5989560064661611,1999
51,-2000.0,0.5929664464014994,1999
52,-2000.0,0.5870367819374844,1999
53,-2000.0,0.5811664141181095,1999
54,-2000.0,0.5753547499769285,1999
55,-1171.0,0.5696012024771592,1170
56,-2000.0,0.5639051904523876,1999
57,-2000.0,0.5582661385478638,1999
58,-2000.0,0.5526834771623851,1999
59,-2000.0,0.5471566423907612,1999
60,-1565.0,0.5416850759668536,1564
61,-2000.0,0.536268225207185,1999
62,-2000.0,0.5309055429551132,1999
63,-993.0,0.525596487525562,992
64,-2000.0,0.5203405226503064,1999
65,-1781.0,0.5151371174238033,1780
66,-2000.0,0.5099857462495653,1999
67,-2000.0,0.5048858887870696,1999
68,-2000.0,0.4998370298991989,1999
69,-585.0,0.49483865960020695,584
70,-2000.0,0.4898902730042049,1999
71,-2000.0,0.48499137027416284,1999
72,-2000.0,0.4801414565714212,1999
73,-1093.0,0.475340042005707,1092
74,-514.0,0.47058664158564995,513
75,-884.0,0.4658807751697934,883
76,-2000.0,0.4612219674180955,1999
77,-1169.0,0.45660974774391455,1168
78,-2000.0,0.4520436502664754,1999
79,-1206.0,0.44752321376381066,1205
80,-1224.0,0.44304798162617254,1223
81,-2000.0,0.4386175018099108,1999
82,-2000.0,0.4342313267918117,1999
83,-1129.0,0.4298890135238936,1128
84,-646.0,0.42559012338865465,645
85,-2000.0,0.4213342221547681,1999
86,-1487.0,0.41712087993322045,1486
87,-942.0,0.41294967113388825,941
88,-2000.0,0.40882017442254937,1999
89,-2000.0,0.4047319726783239,1999
90,-1021.0,0.40068465295154065,1020
91,-1084.0,0.39667780642202527,1083
92,-1335.0,0.392711028357805,1334
93,-1304.0,0.38878391807422696,1303
94,-502.0,0.3848960788934847,501
95,-2000.0,0.38104711810454983,1999
96,-385.0,0.37723664692350434,384
97,-745.0,0.37346428045426927,744
98,-1753.0,0.36972963764972655,1752
99,-1216.0,0.36603234127322926,1215
100,-596.0,0.36237201786049694,595
101,-2000.0,0.358748297681892,1999
102,-2000.0,0.35516081470507305,1999
103,-719.0,0.3516092065580223,718
104,-1160.0,0.34809311449244207,1159
105,-1473.0,0.34461218334751764,1472
106,-1785.0,0.34116606151404244,1784
107,-2000.0,0.337754400898902,1999
108,-437.0,0.334376856889913,436
109,-1193.0,0.33103308832101386,1192
110,-2000.0,0.3277227574378037,1999
111,-954.0,0.3244455298634257,953
112,-1784.0,0.3212010745647914,1783
113,-1177.0,0.3179890638191435,1176
114,-936.0,0.31480917318095203,935
115,-797.0,0.3116610814491425,796
116,-852.0,0.30854447063465107,851
117,-772.0,0.30545902592830454,771
118,-1133.0,0.3024044356690215,1132
119,-183.0,0.29938039131233124,182
120,-392.0,0.2963865873992079,391
121,-695.0,0.29342272152521587,694
122,-864.0,0.2904884943099637,863
123,-250.0,0.28758360936686406,249
124,-289.0,0.2847077732731954,288
125,-715.0,0.28186069554046345,714
126,-1297.0,0.2790420885850588,1296
127,-1353.0,0.2762516676992082,1352
128,-395.0,0.27348915102221616,394
129,-694.0,0.270754259511994,693
130,-1033.0,0.26804671691687404,1032
131,-1238.0,0.2653662497477053,1237
132,-328.0,0.2627125872502282,327
133,-1294.0,0.2600854613777259,1293
134,-1673.0,0.2574846067639487,1672
135,-1523.0,0.2549097606963092,1522
136,-2000.0,0.2523606630893461,1999
137,-992.0,0.24983705645845267,991
138,-859.0,0.24733868589386815,858
139,-204.0,0.24486529903492946,203
140,-439.0,0.24241664604458016,438
141,-583.0,0.23999247958413436,582
142,-902.0,0.23759255478829303,901
143,-346.0,0.2352166292404101,345
144,-229.0,0.232864462948006,228
145,-1134.0,0.23053581831852593,1133
146,-2000.0,0.22823046013534068,1999
147,-847.0,0.22594815553398728,846
148,-785.0,0.22368867397864742,784
149,-1148.0,0.22145178723886094,1147
150,-369.0,0.21923726936647234,368
151,-197.0,0.2170448966728076,196
152,-612.0,0.21487444770607952,611
153,-280.0,0.21272570322901874,279
154,-327.0,0.21059844619672854,326
155,-788.0,0.20849246173476127,787
156,-432.0,0.20640753711741366,431
157,-755.0,0.20434346174623952,754
158,-574.0,0.20230002712877712,573
159,-1347.0,0.20027702685748935,1346
160,-496.0,0.19827425658891445,495
161,-479.0,0.1962915140230253,478
162,-1229.0,0.19432859888279505,1228
163,-381.0,0.1923853128939671,380
164,-612.0,0.19046145976502743,611
165,-1576.0,0.18855684516737714,1575
166,-487.0,0.18667127671570335,486
167,-234.0,0.18480456394854633,233
168,-920.0,0.18295651830906087,919
169,-1321.0,0.18112695312597027,1320
170,-1158.0,0.17931568359471056,1157
171,-731.0,0.17752252675876345,730
172,-591.0,0.17574730149117582,590
173,-1384.0,0.17398982847626407,1383
174,-396.0,0.17224993019150142,395
175,-934.0,0.1705274308895864,933
176,-500.0,0.16882215658069055,499
177,-1262.0,0.16713393501488363,1261
178,-646.0,0.16546259566473479,645
179,-863.0,0.16380796970808745,862
180,-508.0,0.16216989001100657,507
181,-318.0,0.1605481911108965,317
182,-609.0,0.15894270919978754,608
183,-1594.0,0.15735328210778965,1593
184,-1124.0,0.15577974928671176,1123
185,-202.0,0.15422195179384465,201
186,-994.0,0.1526797322759062,993
187,-395.0,0.15115293495314713,394
188,-313.0,0.14964140560361566,312
189,-648.0,0.1481449915475795,647
190,-847.0,0.1466635416321037,846
191,-727.0,0.14519690621578268,726
192,-281.0,0.14374493715362485,280
193,-869.0,0.1423074877820886,868
194,-248.0,0.1408844129042677,247
195,-640.0,0.13947556877522502,639
196,-488.0,0.13808081308747278,487
197,-533.0,0.13670000495659804,532
198,-543.0,0.13533300490703207,542
199,-626.0,0.13397967485796175,625
200,-475.0,0.13263987810938213,474
201,-320.0,0.1313134793282883,319
202,-1281.0,0.13000034453500542,1280
203,-643.0,0.12870034108965536,642
204,-429.0,0.12741333767875881,428
205,-285.0,0.12613920430197123,284
206,-973.0,0.12487781225895152,972
207,-489.0,0.123629034136362,488
208,-138.0,0.12239274379499838,137
209,-1531.0,0.1211688163570484,1530
210,-791.0,0.11995712819347792,790
211,-173.0,0.11875755691154315,172
212,-958.0,0.11756998134242772,957
